areaCode,areaName,areaType,date,cumDeaths28DaysByDeathDate,cumPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate
W92000004,Wales,nation,2021-10-28,6141,,
W92000004,Wales,nation,2021-10-27,6141,,
W92000004,Wales,nation,2021-10-26,6140,,
W92000004,Wales,nation,2021-10-25,6134,,
W92000004,Wales,nation,2021-10-24,6130,,
W92000004,Wales,nation,2021-10-23,6123,,
W92000004,Wales,nation,2021-10-22,6119,,
W92000004,Wales,nation,2021-10-21,6114,,
W92000004,Wales,nation,2021-10-20,6099,,
W92000004,Wales,nation,2021-10-19,6083,,
W92000004,Wales,nation,2021-10-18,6072,,
W92000004,Wales,nation,2021-10-17,6065,,
W92000004,Wales,nation,2021-10-16,6057,,
W92000004,Wales,nation,2021-10-15,6045,,
W92000004,Wales,nation,2021-10-14,6033,,
W92000004,Wales,nation,2021-10-13,6019,,
W92000004,Wales,nation,2021-10-12,6012,,
W92000004,Wales,nation,2021-10-11,6004,,
W92000004,Wales,nation,2021-10-10,5999,,
W92000004,Wales,nation,2021-10-09,5989,,
W92000004,Wales,nation,2021-10-08,5986,,
W92000004,Wales,nation,2021-10-07,5980,,
W92000004,Wales,nation,2021-10-06,5971,,
W92000004,Wales,nation,2021-10-05,5959,,
W92000004,Wales,nation,2021-10-04,5952,,
W92000004,Wales,nation,2021-10-03,5948,,
W92000004,Wales,nation,2021-10-02,5943,,
W92000004,Wales,nation,2021-10-01,5935,,
W92000004,Wales,nation,2021-09-30,5925,,
W92000004,Wales,nation,2021-09-29,5914,,
W92000004,Wales,nation,2021-09-28,5902,,
W92000004,Wales,nation,2021-09-27,5892,,
W92000004,Wales,nation,2021-09-26,5883,,
W92000004,Wales,nation,2021-09-25,5878,,
W92000004,Wales,nation,2021-09-24,5871,,
W92000004,Wales,nation,2021-09-23,5866,,
W92000004,Wales,nation,2021-09-22,5858,,
W92000004,Wales,nation,2021-09-21,5853,,
W92000004,Wales,nation,2021-09-20,5850,,
W92000004,Wales,nation,2021-09-19,5842,,
W92000004,Wales,nation,2021-09-18,5839,,
W92000004,Wales,nation,2021-09-17,5834,,
W92000004,Wales,nation,2021-09-16,5819,,
W92000004,Wales,nation,2021-09-15,5805,,
W92000004,Wales,nation,2021-09-14,5790,,
W92000004,Wales,nation,2021-09-13,5784,,
W92000004,Wales,nation,2021-09-12,5777,,
W92000004,Wales,nation,2021-09-11,5770,,
W92000004,Wales,nation,2021-09-10,5763,,
W92000004,Wales,nation,2021-09-09,5753,,
W92000004,Wales,nation,2021-09-08,5742,,
W92000004,Wales,nation,2021-09-07,5736,,
W92000004,Wales,nation,2021-09-06,5728,,
W92000004,Wales,nation,2021-09-05,5725,,
W92000004,Wales,nation,2021-09-04,5715,,
W92000004,Wales,nation,2021-09-03,5709,,
W92000004,Wales,nation,2021-09-02,5704,,
W92000004,Wales,nation,2021-09-01,5695,,
W92000004,Wales,nation,2021-08-31,5694,,
W92000004,Wales,nation,2021-08-30,5690,,
W92000004,Wales,nation,2021-08-29,5687,,
W92000004,Wales,nation,2021-08-28,5681,,
W92000004,Wales,nation,2021-08-27,5678,,
W92000004,Wales,nation,2021-08-26,5672,,
W92000004,Wales,nation,2021-08-25,5671,,
W92000004,Wales,nation,2021-08-24,5666,,
W92000004,Wales,nation,2021-08-23,5665,,
W92000004,Wales,nation,2021-08-22,5662,,
W92000004,Wales,nation,2021-08-21,5661,,
W92000004,Wales,nation,2021-08-20,5661,,
W92000004,Wales,nation,2021-08-19,5657,,
W92000004,Wales,nation,2021-08-18,5655,,
W92000004,Wales,nation,2021-08-17,5653,,
W92000004,Wales,nation,2021-08-16,5652,,
W92000004,Wales,nation,2021-08-15,5652,,
W92000004,Wales,nation,2021-08-14,5647,,
W92000004,Wales,nation,2021-08-13,5643,,
W92000004,Wales,nation,2021-08-12,5642,,
W92000004,Wales,nation,2021-08-11,5637,,
W92000004,Wales,nation,2021-08-10,5637,,
W92000004,Wales,nation,2021-08-09,5633,,
W92000004,Wales,nation,2021-08-08,5631,,
W92000004,Wales,nation,2021-08-07,5631,,
W92000004,Wales,nation,2021-08-06,5630,,
W92000004,Wales,nation,2021-08-05,5628,,
W92000004,Wales,nation,2021-08-04,5627,,
W92000004,Wales,nation,2021-08-03,5627,,
W92000004,Wales,nation,2021-08-02,5623,,
W92000004,Wales,nation,2021-08-01,5620,,
W92000004,Wales,nation,2021-07-31,5617,,
W92000004,Wales,nation,2021-07-30,5615,,
W92000004,Wales,nation,2021-07-29,5615,,
W92000004,Wales,nation,2021-07-28,5614,,
W92000004,Wales,nation,2021-07-27,5610,,
W92000004,Wales,nation,2021-07-26,5607,,
W92000004,Wales,nation,2021-07-25,5605,,
W92000004,Wales,nation,2021-07-24,5603,,
W92000004,Wales,nation,2021-07-23,5600,,
W92000004,Wales,nation,2021-07-22,5598,,
W92000004,Wales,nation,2021-07-21,5597,,
W92000004,Wales,nation,2021-07-20,5596,,
W92000004,Wales,nation,2021-07-19,5594,,
W92000004,Wales,nation,2021-07-18,5592,,
W92000004,Wales,nation,2021-07-17,5591,,
W92000004,Wales,nation,2021-07-16,5590,,
W92000004,Wales,nation,2021-07-15,5587,,
W92000004,Wales,nation,2021-07-14,5586,,
W92000004,Wales,nation,2021-07-13,5584,,
W92000004,Wales,nation,2021-07-12,5582,,
W92000004,Wales,nation,2021-07-11,5582,,
W92000004,Wales,nation,2021-07-10,5581,,
W92000004,Wales,nation,2021-07-09,5580,,
W92000004,Wales,nation,2021-07-08,5579,,
W92000004,Wales,nation,2021-07-07,5579,,
W92000004,Wales,nation,2021-07-06,5578,,
W92000004,Wales,nation,2021-07-05,5578,,
W92000004,Wales,nation,2021-07-04,5578,,
W92000004,Wales,nation,2021-07-03,5578,,
W92000004,Wales,nation,2021-07-02,5577,,
W92000004,Wales,nation,2021-07-01,5576,,
W92000004,Wales,nation,2021-06-30,5576,,
W92000004,Wales,nation,2021-06-29,5576,,
W92000004,Wales,nation,2021-06-28,5575,,
W92000004,Wales,nation,2021-06-27,5575,,
W92000004,Wales,nation,2021-06-26,5575,,
W92000004,Wales,nation,2021-06-25,5575,,
W92000004,Wales,nation,2021-06-24,5575,,
W92000004,Wales,nation,2021-06-23,5575,,
W92000004,Wales,nation,2021-06-22,5574,,
W92000004,Wales,nation,2021-06-21,5574,,
W92000004,Wales,nation,2021-06-20,5573,,
W92000004,Wales,nation,2021-06-19,5573,,
W92000004,Wales,nation,2021-06-18,5571,,
W92000004,Wales,nation,2021-06-17,5571,,
W92000004,Wales,nation,2021-06-16,5571,,
W92000004,Wales,nation,2021-06-15,5571,,
W92000004,Wales,nation,2021-06-14,5571,,
W92000004,Wales,nation,2021-06-13,5571,,
W92000004,Wales,nation,2021-06-12,5571,,
W92000004,Wales,nation,2021-06-11,5571,,
W92000004,Wales,nation,2021-06-10,5571,,
W92000004,Wales,nation,2021-06-09,5571,,
W92000004,Wales,nation,2021-06-08,5570,,
W92000004,Wales,nation,2021-06-07,5570,,
W92000004,Wales,nation,2021-06-06,5570,,
W92000004,Wales,nation,2021-06-05,5570,,
W92000004,Wales,nation,2021-06-04,5569,,
W92000004,Wales,nation,2021-06-03,5569,,
W92000004,Wales,nation,2021-06-02,5569,,
W92000004,Wales,nation,2021-06-01,5569,,
W92000004,Wales,nation,2021-05-31,5569,,
W92000004,Wales,nation,2021-05-30,5569,,
W92000004,Wales,nation,2021-05-29,5569,,
W92000004,Wales,nation,2021-05-28,5569,,
W92000004,Wales,nation,2021-05-27,5569,,
W92000004,Wales,nation,2021-05-26,5569,,
W92000004,Wales,nation,2021-05-25,5569,,
W92000004,Wales,nation,2021-05-24,5568,,
W92000004,Wales,nation,2021-05-23,5567,,
W92000004,Wales,nation,2021-05-22,5567,,
W92000004,Wales,nation,2021-05-21,5567,,
W92000004,Wales,nation,2021-05-20,5567,,
W92000004,Wales,nation,2021-05-19,5567,,
W92000004,Wales,nation,2021-05-18,5565,,
W92000004,Wales,nation,2021-05-17,5563,,
W92000004,Wales,nation,2021-05-16,5562,,
W92000004,Wales,nation,2021-05-15,5562,,
W92000004,Wales,nation,2021-05-14,5562,,
W92000004,Wales,nation,2021-05-13,5559,,
W92000004,Wales,nation,2021-05-12,5559,,
W92000004,Wales,nation,2021-05-11,5559,,
W92000004,Wales,nation,2021-05-10,5559,,
W92000004,Wales,nation,2021-05-09,5559,,
W92000004,Wales,nation,2021-05-08,5558,,
W92000004,Wales,nation,2021-05-07,5558,,
W92000004,Wales,nation,2021-05-06,5556,,
W92000004,Wales,nation,2021-05-05,5554,,
W92000004,Wales,nation,2021-05-04,5554,,
W92000004,Wales,nation,2021-05-03,5553,,
W92000004,Wales,nation,2021-05-02,5553,,
W92000004,Wales,nation,2021-05-01,5552,,
W92000004,Wales,nation,2021-04-30,5552,,
W92000004,Wales,nation,2021-04-29,5552,,
W92000004,Wales,nation,2021-04-28,5551,,
W92000004,Wales,nation,2021-04-27,5551,,
W92000004,Wales,nation,2021-04-26,5551,,
W92000004,Wales,nation,2021-04-25,5550,,
W92000004,Wales,nation,2021-04-24,5549,,
W92000004,Wales,nation,2021-04-23,5549,,
W92000004,Wales,nation,2021-04-22,5547,,
W92000004,Wales,nation,2021-04-21,5547,,
W92000004,Wales,nation,2021-04-20,5546,,
W92000004,Wales,nation,2021-04-19,5545,,
W92000004,Wales,nation,2021-04-18,5545,,
W92000004,Wales,nation,2021-04-17,5543,,
W92000004,Wales,nation,2021-04-16,5541,,
W92000004,Wales,nation,2021-04-15,5541,,
W92000004,Wales,nation,2021-04-14,5540,,
W92000004,Wales,nation,2021-04-13,5537,,
W92000004,Wales,nation,2021-04-12,5537,,
W92000004,Wales,nation,2021-04-11,5535,,
W92000004,Wales,nation,2021-04-10,5535,,
W92000004,Wales,nation,2021-04-09,5533,,
W92000004,Wales,nation,2021-04-08,5531,,
W92000004,Wales,nation,2021-04-07,5530,,
W92000004,Wales,nation,2021-04-06,5530,,
W92000004,Wales,nation,2021-04-05,5528,,
W92000004,Wales,nation,2021-04-04,5527,,
W92000004,Wales,nation,2021-04-03,5527,,
W92000004,Wales,nation,2021-04-02,5526,,
W92000004,Wales,nation,2021-04-01,5521,,
W92000004,Wales,nation,2021-03-31,5519,,
W92000004,Wales,nation,2021-03-30,5519,,
W92000004,Wales,nation,2021-03-29,5519,,
W92000004,Wales,nation,2021-03-28,5517,,
W92000004,Wales,nation,2021-03-27,5516,,
W92000004,Wales,nation,2021-03-26,5515,,
W92000004,Wales,nation,2021-03-25,5514,,
W92000004,Wales,nation,2021-03-24,5513,,
W92000004,Wales,nation,2021-03-23,5511,,
W92000004,Wales,nation,2021-03-22,5510,,
W92000004,Wales,nation,2021-03-21,5507,,
W92000004,Wales,nation,2021-03-20,5504,,
W92000004,Wales,nation,2021-03-19,5504,,
W92000004,Wales,nation,2021-03-18,5497,,
W92000004,Wales,nation,2021-03-17,5495,,
W92000004,Wales,nation,2021-03-16,5490,,
W92000004,Wales,nation,2021-03-15,5487,,
W92000004,Wales,nation,2021-03-14,5483,,
W92000004,Wales,nation,2021-03-13,5475,,
W92000004,Wales,nation,2021-03-12,5471,,
W92000004,Wales,nation,2021-03-11,5467,,
W92000004,Wales,nation,2021-03-10,5464,,
W92000004,Wales,nation,2021-03-09,5457,,
W92000004,Wales,nation,2021-03-08,5453,,
W92000004,Wales,nation,2021-03-07,5447,,
W92000004,Wales,nation,2021-03-06,5441,,
W92000004,Wales,nation,2021-03-05,5433,,
W92000004,Wales,nation,2021-03-04,5429,,
W92000004,Wales,nation,2021-03-03,5421,,
W92000004,Wales,nation,2021-03-02,5415,,
W92000004,Wales,nation,2021-03-01,5402,,
W92000004,Wales,nation,2021-02-28,5392,928213,103920
W92000004,Wales,nation,2021-02-27,5389,868125,42973
W92000004,Wales,nation,2021-02-26,5377,868125,42973
W92000004,Wales,nation,2021-02-25,5364,868125,42973
W92000004,Wales,nation,2021-02-24,5350,868125,42973
W92000004,Wales,nation,2021-02-23,5338,868125,42973
W92000004,Wales,nation,2021-02-22,5324,868125,42973
W92000004,Wales,nation,2021-02-21,5311,868125,42973
W92000004,Wales,nation,2021-02-20,5296,793346,5540
W92000004,Wales,nation,2021-02-19,5281,793346,5540
W92000004,Wales,nation,2021-02-18,5263,793346,5540
W92000004,Wales,nation,2021-02-17,5252,793346,5540
W92000004,Wales,nation,2021-02-16,5239,793346,5540
W92000004,Wales,nation,2021-02-15,5227,793346,5540
W92000004,Wales,nation,2021-02-14,5209,793346,5540
W92000004,Wales,nation,2021-02-13,5188,621426,2977
W92000004,Wales,nation,2021-02-12,5169,621426,2977
W92000004,Wales,nation,2021-02-11,5144,621426,2977
W92000004,Wales,nation,2021-02-10,5128,621426,2977
W92000004,Wales,nation,2021-02-09,5108,621426,2977
W92000004,Wales,nation,2021-02-08,5090,621426,2977
W92000004,Wales,nation,2021-02-07,5073,621426,2977
W92000004,Wales,nation,2021-02-06,5055,439368,1034
W92000004,Wales,nation,2021-02-05,5028,439368,1034
W92000004,Wales,nation,2021-02-04,5005,439368,1034
W92000004,Wales,nation,2021-02-03,4983,439368,1034
W92000004,Wales,nation,2021-02-02,4956,439368,1034
W92000004,Wales,nation,2021-02-01,4923,439368,1034
W92000004,Wales,nation,2021-01-31,4894,439368,1034
W92000004,Wales,nation,2021-01-30,4872,286177,624
W92000004,Wales,nation,2021-01-29,4850,286177,624
W92000004,Wales,nation,2021-01-28,4808,286177,624
W92000004,Wales,nation,2021-01-27,4779,286177,624
W92000004,Wales,nation,2021-01-26,4757,286177,624
W92000004,Wales,nation,2021-01-25,4720,286177,624
W92000004,Wales,nation,2021-01-24,4693,286177,624
W92000004,Wales,nation,2021-01-23,4659,160338,228
W92000004,Wales,nation,2021-01-22,4626,160338,228
W92000004,Wales,nation,2021-01-21,4587,160338,228
W92000004,Wales,nation,2021-01-20,4553,160338,228
W92000004,Wales,nation,2021-01-19,4515,160338,228
W92000004,Wales,nation,2021-01-18,4489,160338,228
W92000004,Wales,nation,2021-01-17,4446,160338,228
W92000004,Wales,nation,2021-01-16,4420,92482,110
W92000004,Wales,nation,2021-01-15,4380,92482,110
W92000004,Wales,nation,2021-01-14,4338,92482,110
W92000004,Wales,nation,2021-01-13,4284,92482,110
